,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size,X,Y,Z,Size
253,2.108333,-127.700272,88.361511,31.631767,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
254,2.116667,-127.76046,88.359749,31.628853,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
255,2.125,-127.756119,88.372093,31.621433,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
256,2.133333,-127.781387,88.376129,31.616894,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
257,2.141667,-127.761856,88.390076,31.609245,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
258,2.15,-127.790604,88.392021,31.599653,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
259,2.158333,-127.795235,88.401306,31.591808,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
260,2.166667,-127.799591,88.404236,31.587469,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
261,2.175,-127.832649,88.402679,31.579927,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
262,2.183333,-127.80809,88.408295,31.563669,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
263,2.191667,-127.859093,88.405502,31.55728,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
264,2.2,-127.829025,88.415604,31.545004,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
265,2.208333,-127.792213,88.423729,31.529007,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
266,2.216667,-127.788528,88.430695,31.517326,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
267,2.225,-127.786652,88.432053,31.50222,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
268,2.233333,-127.78466,88.439575,31.482193,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
269,2.241667,-127.733978,88.449608,31.465193,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
270,2.25,-127.706238,88.461334,31.444895,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
271,2.258333,-127.744965,88.457039,31.430128,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
272,2.266667,-127.623703,88.484642,31.400654,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
273,2.275,-127.572372,88.495323,31.376154,0.012915,,,,,,,,,,,,,,,,,,,,,,,,
